Section,Lesson,Time
11. Microservice Architectures,29. WARNING - possible resource problems!,1
11. Microservice Architectures,30. An Introduction to Microservices,15
11. Microservice Architectures,31. Introduction to Microservices Part 2,11
11. Microservice Architectures,32. Fleetman Microservices - setting the scene,14
11. Microservice Architectures,33. Deploying the Queue,13
11. Microservice Architectures,34. Deploying the Position Simulator,8
11. Microservice Architectures,35. Inspecting Pod Logs,6
11. Microservice Architectures,36. Deploying the Position Tracker,11
11. Microservice Architectures,37. Deploying the API Gateway,5
11. Microservice Architectures,38. Deploying the Webapp,7
